,Unnamed: 0,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
0,1,Mesut Özil,"£ 350,000","£ 18,200,000","£ 18,842,965",M,29,Germany,Arsenal,Premier League,2018-2019
1,2,Henrikh Mkhitaryan,"£ 200,000","£ 10,400,000","£ 10,767,409",M,29,Armenia,Arsenal,Premier League,2018-2019
2,3,Alexandre Lacazette,"£ 182,077","£ 9,468,000","£ 9,802,483",F,27,France,Arsenal,Premier League,2018-2019
3,4,Pierre-Emerick Aubameyang,"£ 180,000","£ 9,360,000","£ 9,690,668",F,29,Gabon,Arsenal,Premier League,2018-2019
4,5,Danny Welbeck,"£ 125,000","£ 6,500,000","£ 6,729,630",F,27,England,Arsenal,Premier League,2018-2019
5,6,Aaron Ramsey,"£ 120,000","£ 6,240,000","£ 6,460,445",M,27,Wales,Arsenal,Premier League,2018-2019
6,7,Petr Cech,"£ 110,000","£ 5,720,000","£ 5,922,075",K,36,Czech Republic,Arsenal,Premier League,2018-2019
7,8,Héctor Bellerín,"£ 110,000","£ 5,720,000","£ 5,922,075",D,23,Spain,Arsenal,Premier League,2018-2019
8,9,Granit Xhaka,"£ 100,000","£ 5,200,000","£ 5,383,704",M,25,Switzerland,Arsenal,Premier League,2018-2019
9,10,Sokratis,"£ 100,000","£ 5,200,000","£ 5,383,704",D,30,Greece,Arsenal,Premier League,2018-2019
10,11,Sead Kolasinac,"£ 100,000","£ 5,200,000","£ 5,383,704",D,25,Bosnia-Herzegovina,Arsenal,Premier League,2018-2019
11,12,Bernd Leno,"£ 100,000","£ 5,200,000","£ 5,383,704",K,26,Germany,Arsenal,Premier League,2018-2019
12,13,Laurent Koscielny,"£ 90,000","£ 4,680,000","£ 4,845,334",D,32,France,Arsenal,Premier League,2018-2019
13,14,Shkodran Mustafi,"£ 90,000","£ 4,680,000","£ 4,845,334",D,26,Germany,Arsenal,Premier League,2018-2019
14,15,Denis Suárez,"£ 86,308","£ 4,488,000","£ 4,646,551",M,24,Spain,Arsenal,Premier League,2018-2019
15,16,Stephan Lichtsteiner,"£ 75,000","£ 3,900,000","£ 4,037,778",D,34,Switzerland,Arsenal,Premier League,2018-2019
16,17,Lucas Torreira,"£ 75,000","£ 3,900,000","£ 4,037,778",M,22,Uruguay,Arsenal,Premier League,2018-2019
17,18,Nacho Monreal,"£ 70,000","£ 3,640,000","£ 3,768,593",D,32,Spain,Arsenal,Premier League,2018-2019
18,19,Alex Iwobi,"£ 70,000","£ 3,640,000","£ 3,768,593",F,22,Nigeria,Arsenal,Premier League,2018-2019
19,20,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,691,852",D,23,England,Arsenal,Premier League,2018-2019
20,21,Carl Jenkinson,"£ 45,000","£ 2,340,000","£ 2,422,667",D,26,England,Arsenal,Premier League,2018-2019
21,22,Mattéo Guendouzi,"£ 40,000","£ 2,080,000","£ 2,153,482",M,19,France,Arsenal,Premier League,2018-2019
22,23,Ainsley Maitland-Niles,"£ 35,000","£ 1,820,000","£ 1,884,297",M,20,England,Arsenal,Premier League,2018-2019
23,24,Mohamed Elneny,"£ 30,000","£ 1,560,000","£ 1,615,111",M,25,Egypt,Arsenal,Premier League,2018-2019
24,25,Rob Holding,"£ 25,000","£ 1,300,000","£ 1,345,926",D,22,England,Arsenal,Premier League,2018-2019
25,26,Emiliano Martínez,"£ 20,000","£ 1,040,000","£ 1,076,741",K,25,Argentina,Arsenal,Premier League,2018-2019
26,27,Emile Smith Rowe,"£ 15,000","£ 780,000","£ 807,556",M,17,England,Arsenal,Premier League,2018-2019
