,Unnamed: 0,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
0,1,Mesut Özil,"£ 350,000","£ 18,200,000","£ 19,170,476",M,28,Germany,Arsenal,Premier League,2017-2018
1,2,Alexis Sánchez,"£ 350,000","£ 18,200,000","£ 19,170,476",F,28,Chile,Arsenal,Premier League,2017-2018
2,3,Henrikh Mkhitaryan,"£ 200,000","£ 10,400,000","£ 10,954,558",M,28,Armenia,Arsenal,Premier League,2017-2018
3,4,Alexandre Lacazette,"£ 182,077","£ 9,468,000","£ 9,972,861",F,26,France,Arsenal,Premier League,2017-2018
4,5,Pierre-Emerick Aubameyang,"£ 180,000","£ 9,360,000","£ 9,859,102",F,28,Gabon,Arsenal,Premier League,2017-2018
5,6,Danny Welbeck,"£ 125,000","£ 6,500,000","£ 6,846,599",F,26,England,Arsenal,Premier League,2017-2018
6,7,Aaron Ramsey,"£ 120,000","£ 6,240,000","£ 6,572,735",M,26,Wales,Arsenal,Premier League,2017-2018
7,8,Theo Walcott,"£ 120,000","£ 6,240,000","£ 6,572,735",F,28,England,Arsenal,Premier League,2017-2018
8,9,Alex Oxlade-Chamberlain,"£ 120,000","£ 6,240,000","£ 6,572,735",M,23,England,Arsenal,Premier League,2017-2018
9,10,Petr Cech,"£ 110,000","£ 5,720,000","£ 6,025,007",K,35,Czech Republic,Arsenal,Premier League,2017-2018
10,11,Héctor Bellerín,"£ 110,000","£ 5,720,000","£ 6,025,007",D,22,Spain,Arsenal,Premier League,2017-2018
11,12,Olivier Giroud,"£ 110,000","£ 5,720,000","£ 6,025,007",F,30,France,Arsenal,Premier League,2017-2018
12,13,Santi Cazorla,"£ 100,000","£ 5,200,000","£ 5,477,279",M,32,Spain,Arsenal,Premier League,2017-2018
13,14,Sead Kolasinac,"£ 100,000","£ 5,200,000","£ 5,477,279",D,24,Bosnia-Herzegovina,Arsenal,Premier League,2017-2018
14,15,Per Mertesacker,"£ 90,000","£ 4,680,000","£ 4,929,551",D,32,Germany,Arsenal,Premier League,2017-2018
15,16,Laurent Koscielny,"£ 90,000","£ 4,680,000","£ 4,929,551",D,31,France,Arsenal,Premier League,2017-2018
16,17,Jack Wilshere,"£ 90,000","£ 4,680,000","£ 4,929,551",M,25,England,Arsenal,Premier League,2017-2018
17,18,Shkodran Mustafi,"£ 90,000","£ 4,680,000","£ 4,929,551",D,25,Germany,Arsenal,Premier League,2017-2018
18,19,Granit Xhaka,"£ 80,000","£ 4,160,000","£ 4,381,823",M,24,Switzerland,Arsenal,Premier League,2017-2018
19,20,Alex Iwobi,"£ 70,000","£ 3,640,000","£ 3,834,095",F,21,Nigeria,Arsenal,Premier League,2017-2018
20,21,Nacho Monreal,"£ 70,000","£ 3,640,000","£ 3,834,095",D,31,Spain,Arsenal,Premier League,2017-2018
21,22,David Ospina,"£ 50,000","£ 2,600,000","£ 2,738,639",K,28,Colombia,Arsenal,Premier League,2017-2018
22,23,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,738,639",D,22,England,Arsenal,Premier League,2017-2018
23,24,Mohamed Elneny,"£ 30,000","£ 1,560,000","£ 1,643,184",M,24,Egypt,Arsenal,Premier League,2017-2018
24,25,Rob Holding,"£ 25,000","£ 1,300,000","£ 1,369,320",D,21,England,Arsenal,Premier League,2017-2018
25,26,Konstantinos Mavropanos,"£ 7,000","£ 364,000","£ 383,410",D,19,Greece,Arsenal,Premier League,2017-2018
26,27,Joe Willock,"£ 5,000","£ 260,000","£ 273,864",M,17,England,Arsenal,Premier League,2017-2018
27,28,Matt Macey,"£ 4,000","£ 208,000","£ 219,091",K,22,England,Arsenal,Premier League,2017-2018
28,29,Eddie Nketiah,"£ 4,000","£ 208,000","£ 219,091",F,18,England,Arsenal,Premier League,2017-2018
29,30,Ainsley Maitland-Niles,"£ 4,000","£ 208,000","£ 219,091",M,19,England,Arsenal,Premier League,2017-2018
30,31,Reiss Nelson,"£ 3,000","£ 156,000","£ 164,318",F,17,England,Arsenal,Premier League,2017-2018
31,32,Jordi Osei-Tutu,"£ 2,000","£ 104,000","£ 109,546",D,18,England,Arsenal,Premier League,2017-2018
32,33,Vlad Dragomir,"£ 1,500","£ 78,000","£ 82,159",M,18,Romania,Arsenal,Premier League,2017-2018
33,34,Charlie Gilmour,£ 808,"£ 42,000","£ 44,240",M,18,Scotland,Arsenal,Premier League,2017-2018
34,35,Cohen Bramall,£ 0,£ 0,£ 0,D,21,England,Arsenal,Premier League,2017-2018
35,36,Chuba Akpom,£ 0,£ 0,£ 0,F,21,England,Arsenal,Premier League,2017-2018
36,37,Carl Jenkinson,£ 0,£ 0,£ 0,D,25,England,Arsenal,Premier League,2017-2018
37,38,Marcus McGuane,£ 0,£ 0,£ 0,M,18,England,Arsenal,Premier League,2017-2018
38,39,Dejan Iliev,£ 0,£ 0,£ 0,K,22,North Macedonia,Arsenal,Premier League,2017-2018
39,40,Krystian Bielik,£ 0,£ 0,£ 0,D,19,Poland,Arsenal,Premier League,2017-2018
40,41,Ben Sheaf,£ 0,£ 0,£ 0,M,19,England,Arsenal,Premier League,2017-2018
41,42,Joshua Da Silva,£ 0,£ 0,£ 0,M,18,England,Arsenal,Premier League,2017-2018
42,43,Jeff Reine-Adélaïde,£ 0,£ 0,£ 0,M,19,France,Arsenal,Premier League,2017-2018
43,44,Mathieu Debuchy,£ 0,£ 0,£ 0,D,31,France,Arsenal,Premier League,2017-2018
44,45,Francis Coquelin,£ 0,£ 0,£ 0,M,26,France,Arsenal,Premier League,2017-2018
0,1,Asmir Begovic,"£ 70,000","£ 3,640,000","£ 3,834,095",K,30,Bosnia-Herzegovina,Bournemouth,Premier League,2017-2018
1,2,Jermain Defoe,"£ 65,000","£ 3,380,000","£ 3,560,231",F,34,England,Bournemouth,Premier League,2017-2018
2,3,Joshua King,"£ 45,000","£ 2,340,000","£ 2,464,775",F,25,Norway,Bournemouth,Premier League,2017-2018
3,4,Artur Boruc,"£ 40,000","£ 2,080,000","£ 2,190,912",K,37,Poland,Bournemouth,Premier League,2017-2018
4,5,Steve Cook,"£ 40,000","£ 2,080,000","£ 2,190,912",D,26,England,Bournemouth,Premier League,2017-2018
5,6,Nathan Aké,"£ 40,000","£ 2,080,000","£ 2,190,912",D,22,Netherlands,Bournemouth,Premier League,2017-2018
6,7,Harry Arter,"£ 40,000","£ 2,080,000","£ 2,190,912",M,27,Ireland,Bournemouth,Premier League,2017-2018
7,8,Jordon Ibe,"£ 37,500","£ 1,950,000","£ 2,053,980",F,21,England,Bournemouth,Premier League,2017-2018
8,9,Adam Smith,"£ 35,000","£ 1,820,000","£ 1,917,048",D,26,England,Bournemouth,Premier League,2017-2018
9,10,Dan Gosling,"£ 35,000","£ 1,820,000","£ 1,917,048",M,27,England,Bournemouth,Premier League,2017-2018
10,11,Charlie Daniels,"£ 35,000","£ 1,820,000","£ 1,917,048",D,30,England,Bournemouth,Premier League,2017-2018
11,12,Andrew Surman,"£ 35,000","£ 1,820,000","£ 1,917,048",M,30,England,Bournemouth,Premier League,2017-2018
12,13,Callum Wilson,"£ 30,000","£ 1,560,000","£ 1,643,184",F,25,England,Bournemouth,Premier League,2017-2018
13,14,Adam Federici,"£ 30,000","£ 1,560,000","£ 1,643,184",K,32,Australia,Bournemouth,Premier League,2017-2018
14,15,Simon Francis,"£ 30,000","£ 1,560,000","£ 1,643,184",D,32,England,Bournemouth,Premier League,2017-2018
15,16,Ryan Fraser,"£ 27,000","£ 1,404,000","£ 1,478,865",F,23,Scotland,Bournemouth,Premier League,2017-2018
16,17,Marc Pugh,"£ 25,000","£ 1,300,000","£ 1,369,320",F,30,England,Bournemouth,Premier League,2017-2018
17,18,Junior Stanislas,"£ 25,000","£ 1,300,000","£ 1,369,320",F,27,England,Bournemouth,Premier League,2017-2018
18,19,Brad Smith,"£ 25,000","£ 1,300,000","£ 1,369,320",D,23,Australia,Bournemouth,Premier League,2017-2018
19,20,Tyrone Mings,"£ 23,000","£ 1,196,000","£ 1,259,774",D,24,England,Bournemouth,Premier League,2017-2018
20,21,Lys Mousset,"£ 20,000","£ 1,040,000","£ 1,095,456",F,21,France,Bournemouth,Premier League,2017-2018
21,22,Rhoys Wiggins,"£ 16,000","£ 832,000","£ 876,365",D,29,Wales,Bournemouth,Premier League,2017-2018
22,23,Lewis Cook,"£ 15,000","£ 780,000","£ 821,592",M,20,England,Bournemouth,Premier League,2017-2018
23,24,Emerson Hyndman,"£ 15,000","£ 780,000","£ 821,592",M,21,United States,Bournemouth,Premier League,2017-2018
24,25,Aaron Ramsdale,"£ 3,000","£ 156,000","£ 164,318",K,19,England,Bournemouth,Premier League,2017-2018
25,26,Jack Simpson,"£ 3,000","£ 156,000","£ 164,318",D,20,England,Bournemouth,Premier League,2017-2018
26,27,Matt Butcher,£ 596,"£ 31,000","£ 32,653",M,20,England,Bournemouth,Premier League,2017-2018
27,28,Mikael Ndjoli,£ 500,"£ 26,000","£ 27,386",F,18,England,Bournemouth,Premier League,2017-2018
28,29,Kyle Taylor,£ 500,"£ 26,000","£ 27,386",M,17,England,Bournemouth,Premier League,2017-2018
29,30,Ryan Allsop,£ 0,£ 0,£ 0,K,25,England,Bournemouth,Premier League,2017-2018
30,31,Connor Mahoney,£ 0,£ 0,£ 0,F,20,England,Bournemouth,Premier League,2017-2018
31,32,Shaun Hobson,£ 0,£ 0,£ 0,D,19,England,Bournemouth,Premier League,2017-2018
32,33,Benik Afobe,£ 0,£ 0,£ 0,F,24,Democratic Republic of Congo,Bournemouth,Premier League,2017-2018
33,34,Baily Cargill,£ 0,£ 0,£ 0,D,21,England,Bournemouth,Premier League,2017-2018
34,35,Lewis Grabban,£ 0,£ 0,£ 0,F,29,Jamaica,Bournemouth,Premier League,2017-2018
0,1,Davy Pröpper,"£ 45,000","£ 2,340,000","£ 2,464,775",M,25,Netherlands,Brighton,Premier League,2017-2018
1,2,José Izquierdo,"£ 45,000","£ 2,340,000","£ 2,464,775",F,24,Colombia,Brighton,Premier League,2017-2018
2,3,Jürgen Locadia,"£ 45,000","£ 2,340,000","£ 2,464,775",F,23,Netherlands,Brighton,Premier League,2017-2018
